학번,희망 역할,관심 주제,발표 자신감(1~5),협업 선호(1~5),함께하고 싶은 학번(최대 2),한마디
20301,자료조사,기후와 에너지,5,2,,
20302,발표,기후와 에너지,4,5,20324 20303,
20303,기록,생활 속 화학,5,4,,
20304,기록,인체와 건강,2,3,20311,발표는 자신 없지만 자료 찾기는 잘해요
20305,제작·실험,우주와 별,2,2,,만드는 거 좋아해요
20306,,인체와 건강,3,3,,기록 맡고 싶어요
20307,자료조사,기후와 에너지,2,3,,실험 좋아합니다
20308,기록,기후와 에너지,2,3,20320,
20309,기록,기후와 에너지,3,2,20313 20303,조용한 모둠이면 좋겠어요
20310,자료조사,우주와 별,3,2,20327,발표 해 보고 싶어요
20311,자료조사,기후와 에너지,2,4,20303,기록 맡고 싶어요
20312,기록,우주와 별,3,4,,발표 해 보고 싶어요
20313,발표,기후와 에너지,4,4,,기록 맡고 싶어요
20314,발표,기후와 에너지,5,3,20324,기록 맡고 싶어요
20315,자료조사,우주와 별,1,4,,조용한 모둠이면 좋겠어요
20315,발표,우주와 별,1,4,,(다시 제출)
20316,기록,기후와 에너지,3,3,20303 20301,우주 관련이면 뭐든
20317,발표,인체와 건강,4,4,20322,발표는 자신 없지만 자료 찾기는 잘해요
20318,자료조사,우주와 별,1,5,20328 20319,
20319,제작·실험,인체와 건강,4,3,20318 20310,주제는 아무거나 괜찮아요
20320,발표,우주와 별,4,5,20332,조용한 모둠이면 좋겠어요
20321,기록,기후와 에너지,2,2,20328,친한 친구랑 같이 하고 싶어요
20322,제작·실험,생활 속 화학,5,2,20309 20308,기록 맡고 싶어요
20323,발표,인체와 건강,3,4,20305,
20324,제작·실험,우주와 별,5,5,20318,
20325,제작·실험,인체와 건강,3,3,20321 20304,만드는 거 좋아해요
20326,기록,우주와 별,3,5,20307,
20327,기록,우주와 별,4,5,20312 20322,발표 해 보고 싶어요
20328,자료조사,우주와 별,3,5,20309 20321,주제는 아무거나 괜찮아요
